Age Group,Gender,Occupation,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,Top Movie 1,Top Movie 2,Top Movie 3,Top Movie 4,Top Movie 5
56+,Female,College/Grad Student,Like,Like,Neutral,Like,Like,Like,Dislike,Dislike,Like,Neutral,Like,Neutral,Neutral,Like,Like,Like,Dislike,Dislike,The Ring,Inception,Elysium,Gone Girl,Pride and Prejudice
50-55,Female,Scientist,Neutral,Neutral,Like,Neutral,Like,Like,Like,Like,Like,Dislike,Neutral,Neutral,Neutral,Neutral,Like,Dislike,Like,Like,Pulp Fiction,Finding Nemo,The Godfather,Seven,No Country for Old Men
25-34,Female,Other,Dislike,Like,Like,Neutral,Like,Dislike,Like,Neutral,Dislike,Like,Like,Neutral,Like,Neutral,Dislike,Like,Like,Like,Gone Girl,Get Out,Free Solo,Bridesmaids,Touch of Evil
25-34,Female,Tradesman/Craftsman,Like,Neutral,Neutral,Like,Like,Like,Like,Neutral,Like,Like,Dislike,Like,Neutral,Like,Like,Neutral,Like,Like,Brave,Free Solo,The Avengers,The Bourne Ultimatum,Mean Girls
25-34,Female,Farmer,Neutral,Dislike,Like,Dislike,Like,Neutral,Like,Neutral,Dislike,Dislike,Like,Like,Neutral,Neutral,Neutral,Like,Like,Dislike,Dunkirk,Singin' in the Rain,Inside Job,Prisoners,The Sound of Music
45-49,Male,Programmer,Like,Neutral,Neutral,Like,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Neutral,Like,Like,Like,Dislike,Dislike,Moonlight,Double Indemnity,Fahrenheit 9/11,Laura,13th
25-34,Male,K-12 Student,Like,Neutral,Like,Like,Like,Neutral,Like,Like,Dislike,Neutral,Like,Like,Like,Neutral,Neutral,Neutral,Dislike,Dislike,Mamma Mia!,Napoleon Dynamite,Citizenfour,John Wick,La La Land
56+,Female,Customer Service,Neutral,Like,Like,Neutral,Dislike,Neutral,Like,Like,Neutral,Neutral,Like,Like,Dislike,Like,Dislike,Like,Like,Neutral,Into the Woods,Black Swan,Split,The Revenant,Se7en
50-55,Male,College/Grad Student,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Like,Like,Neutral,Like,Like,Dislike,Neutral,Like,Dislike,Dislike,Like,Les Misérables,Django Unchained,The Green Mile,The Ring,Heat
45-49,Male,Clerical/Admin,Like,Dislike,Dislike,Like,Like,Dislike,Dislike,Like,Neutral,Like,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Dislike,Dislike,Minions,The Lego Movie,Chicago,Inception,The Shawshank Redemption
25-34,Male,Lawyer,Like,Neutral,Like,Like,Dislike,Dislike,Neutral,Like,Like,Like,Like,Neutral,Dislike,Like,Neutral,Like,Like,Like,Brave,Harry Potter,Moana,Mad Max: Fury Road,Paddington
35-44,Male,Clerical/Admin,Like,Like,Neutral,Like,Dislike,Like,Like,Neutral,Dislike,Like,Like,Like,Dislike,Neutral,Neutral,Neutral,Dislike,Neutral,Hereditary,The Lord of the Rings,No Country for Old Men,Bolt,Moana
25-34,Female,Programmer,Like,Neutral,Like,Like,Like,Dislike,Like,Like,Neutral,Neutral,Neutral,Like,Like,Neutral,Like,Neutral,Dislike,Like,Les Misérables,Edge of Tomorrow,Shutter Island,Gladiator,John Wick
45-49,Male,Tradesman/Craftsman,Like,Like,Neutral,Neutral,Like,Like,Neutral,Like,Neutral,Like,Like,Like,Neutral,Neutral,Dislike,Neutral,Neutral,Neutral,The Shawshank Redemption,Moonlight,Casino,Dumb and Dumber,Interstellar
50-55,Male,Scientist,Neutral,Like,Like,Like,Dislike,Neutral,Dislike,Like,Dislike,Neutral,Like,Dislike,Dislike,Neutral,Like,Neutral,Dislike,Neutral,Get Out,Minority Report,Ratatouille,Frozen,The Matrix
18-24,Other,Lawyer,Dislike,Like,Like,Neutral,Neutral,Dislike,Like,Dislike,Like,Like,Neutral,Like,Like,Like,Neutral,Dislike,Neutral,Neutral,Life of Pi,Zootopia,Into the Woods,Won’t You Be My Neighbor?,Notting Hill
18-24,Female,Writer,Neutral,Dislike,Like,Dislike,Neutral,Like,Like,Dislike,Neutral,Dislike,Neutral,Dislike,Like,Like,Like,Dislike,Neutral,Like,The Godfather,The Notebook,Open Range,Knives Out,Django Unchained
50-55,Female,Other,Like,Neutral,Dislike,Dislike,Dislike,Like,Like,Neutral,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Dislike,Mad Max: Fury Road,The Avengers,Saving Private Ryan,The Chronicles of Narnia,Gone Girl
56+,Male,Programmer,Like,Neutral,Dislike,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Neutral,Neutral,Like,Like,Dislike,Like,The Avengers,The Incredibles,Harry Potter,Out of the Past,Stardust
50-55,Male,Retired,Like,Neutral,Like,Neutral,Neutral,Like,Like,Like,Like,Neutral,Dislike,Like,Neutral,Neutral,Like,Like,Neutral,Like,Django Unchained,The Greatest Showman,Ratatouille,Harry Potter,Se7en
50-55,Male,Academic/Educator,Neutral,Like,Dislike,Like,Dislike,Like,Like,Dislike,Like,Neutral,Neutral,Dislike,Like,Dislike,Neutral,Neutral,Like,Like,Saving Private Ryan,Bolt,The Chronicles of Narnia,Platoon,The Incredibles
45-49,Male,Writer,Like,Like,Like,Like,Like,Neutral,Neutral,Dislike,Neutral,Dislike,Like,Neutral,Neutral,Neutral,Dislike,Like,Like,Dislike,Bridesmaids,American Sniper,Cars,Minions,The Lord of the Rings
56+,Male,Lawyer,Like,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Neutral,The Girl with the Dragon Tattoo,The Blair Witch Project,Mad Max: Fury Road,Prisoners,The Ring
35-44,Male,Technician/Engineer,Like,Neutral,Like,Like,Dislike,Like,Dislike,Like,Dislike,Neutral,Like,Neutral,Dislike,Like,Dislike,Like,Like,Like,Finding Nemo,Mystic River,The Lion King,No Country for Old Men,Black Swan
